cloud_provider,category,service,description,id
azure,Network,Azure DNS,Offers DNS domain hosting.,67190a43
azure,Network,Azure Firewall,"Provides managed, cloud-based network security service.",cef633ec
azure,Network,Azure Firewall Manager,Centralizes management of Azure Firewall policies.,59da6927
azure,Network,Bandwidth,Represents data transfer costs.,52d95f5c
azure,Network,CDN Data Transfer,Provides content delivery network data transfer.,c96e3dd7
azure,Network,Event Grid,Offers event routing service.,9779d7f7
azure,Network,ExpressRoute,Provides private connections to Azure datacenters.,12713c54
azure,Network,Load Balancer,Offers load balancing for applications.,50eefa41
azure,Network,Microsoft.Network/networkInterfaces,Provides network interfaces for Azure virtual machines.,fa99ac47
azure,Network,Microsoft.Network/publicIPAddresses,Offers public IP addresses for Azure resources.,8b33a450
azure,Network,Microsoft.Storage/publicIPAddresses,Provides public IP addresses for Azure storage accounts.,623906da
azure,Network,NAT Gateway,Provides outbound internet connectivity for virtual networks.,2e161718
azure,Network,Network/dnszones,Offers DNS zone management.,2fbf8bb6
azure,Network,Network/loadBalancers,Provides load balancing for applications.,2bbd8dc9
azure,Network,Network/networkSecurityGroups,Offers network security group management.,887be503
azure,Network,Network/privateDnsZones,Provides private DNS zone management.,05416315
azure,Network,Network/publicIPAddresses,Offers public IP addresses for Azure resources.,5d9b2c6a
azure,Network,Networking,Represents general networking services.,6064000d
azure,Network,Notification Hubs,Provides push notification services.,9d988d51
azure,Network,Traffic Manager,Offers DNS-based traffic load balancing.,528f8357
azure,Network,Virtual Network,Provides virtual network management.,c9a6d1c4
azure,Network,Virtual WAN,Offers wide area network management.,5d7e9164
azure,Network,VPN Gateway,Provides site-to-site VPN connectivity.,5758fbd1
azure,Network,Azure Route Server,Enables dynamic routing between network virtual appliances.,f1e7676a
azure,Security,Advanced Threat Protection,Provides advanced threat detection and response.,095f1ed3
azure,Security,Identity,Offers identity management services.,6189d3f2
azure,Security,Key Vault,Provides secure key management.,d97166de
azure,Security,Multi-Factor Authentication,Offers multi-factor authentication services.,3ad52e37
azure,Security,Security Center,Provides unified security management.,625acf93
azure,Security,Advanced Data Security,Offers advanced data protection services.,7f79a8a2
azure,Security,Sentinel,Provides cloud-native security information and event management (SIEM).,cdc3b49d
azure,Security,Microsoft Defender for Cloud,Offers cloud security posture management.,c7b080ba
azure,Security,Azure Defender,Provides threat protection for Azure resources.,6124a147
azure,Service,Advisor/recommendations,Offers personalized best practices recommendations.,045faba6
azure,Service,Azure Bot Service,Provides bot development and hosting.,15010c37
azure,Service,Azure Search,Offers search-as-a-service.,4798769c
azure,Service,Backup,Provides backup and recovery services.,61428435
azure,Service,BizTalk Services,Offers enterprise integration services.,e2944d09
azure,Service,CDN,Provides content delivery network services.,d705ec27
azure,Service,Content Delivery Network,Offers content delivery network services.,7055c2ef
azure,Service,Logic Apps,Provides workflow automation.,31a92873
azure,Service,Media Services,Offers media encoding and streaming services.,e93d6cd2
azure,Service,Microsoft.ApiManagement/service,Provides API management services.,457604e1
azure,Service,Microsoft.Automation/automationAccounts,Offers automation account management.,36567090
azure,Service,Microsoft.Search/searchServices,Provides search-as-a-service.,51253fef
azure,Service,microsoft.siterecovery/SiteRecoveryVault,Offers disaster recovery services.,213fd182
azure,Service,Mobile Engagement,Provides mobile engagement analytics.,da7c7e13
azure,Service,Mobile Services,Offers mobile backend services.,4eae4f9a
azure,Service,Recovery Services,Provides disaster recovery services.,db331619
azure,Service,SignalR,Offers real-time web functionality.,88bd56a4
azure,Service,Visual Studio Codespaces,Provides cloud-hosted development environments.,d34e20b5
azure,Service,Visual Studio Online,Offers cloud-hosted development environments.,4f36f70b
azure,Service,Visual Studio Subscription,Provides access to development tools and services.,11353c07
azure,Service,Visual Studio Team Services,Offers development collaboration tools.,0fff7fb2
azure,Service,Windows Azure CDN,Provides content delivery network services.,f94175fa
azure,Service,App Center,Offers continuous integration and delivery for mobile apps.,bf64c700
azure,Service,App Configuration,Provides centralized configuration management.,ed8cec08
azure,Service,Azure Active Directory Domain Services,Offers managed domain services.,6b9bd5f8
azure,Service,Azure Data Share,Provides secure data sharing.,db5adf2e
azure,Service,Azure Front Door Service,Offers global load balancing and site acceleration.,cfe2e6f0
azure,Service,Azure Purview,Provides unified data governance.,e292babc
azure,Service,AzureMarketPlace,Offers a marketplace for Azure applications and services.,84464978
azure,Service,SavingsPlan,Provides cost-saving plans for Azure services.,9966aece
azure,Service,MarketPlace,Offers a marketplace for Azure applications and services.,a1d725de
azure,Service,Github,Provides GitHub services.,ddd54d50
azure,Service,Azure Load Testing,Offers load testing for applications.,c63931d9
azure,Service,Power Automate,Provides workflow automation.,85a559c2
azure,Service,Azure Arc,Offers hybrid cloud management.,4308cbd0
azure,Service,Azure Stack HCI,Provides hyper-converged infrastructure.,b1bbdc0c
azure,Service Reserved,Azure RI CloudSimple VMware Solution,Reserved instance for CloudSimple VMware Solution.,3b008996
azure,Service Reserved,Azure RI App Services,Reserved instance for App Services.,fa2d403c
azure,Service Reserved,Azure RI VMware Solution,Reserved instance for VMware Solution.,8171a864
azure,Storage,*Storage,Represents general storage services.,71ac04b8
azure,Storage,Disk,Provides disk storage.,5b4570e4
azure,Storage,BlobChangeFeed,Offers change feed for blob storage.,b260c52f
azure,Storage,Blob,Provides object storage.,e5f395e7
azure,Storage,File,Offers file storage.,2a0e1118
azure,Storage,Blob Features,Provides additional features for blob storage.,fba28c10
azure,Storage,Queue,Offers message queueing.,b4bdb258
azure,Storage,Table,Provides table storage.,351733d6
azure,Storage,Azure Data Lake Storage,Offers scalable data lake storage.,31f706ff
azure,Storage,Cache,Provides caching services.,32048518
azure,Storage,Container Storage,Offers container storage.,e34796ef
azure,Storage,Microsoft.ClassicStorage/storageAccounts,Provides classic storage account management.,af87cf1c
azure,Storage,Microsoft.Compute/disks,Offers disk storage for compute services.,8378471d
azure,Storage,Microsoft.Storage/disks,Provides disk storage.,668d97ee
azure,Storage,Microsoft.Storage/storageAccounts,Offers storage account management.,68d77864
azure,Storage,Redis Cache,Provides Redis-based caching.,b692d4a2
azure,Storage Reserved,Azure RI Redis Cache,Reserved instance for Redis Cache.,00631d39
azure,Storage,Site Recovery,Offers disaster recovery services.,885252d8
azure,Storage,Azure Site Recovery,Provides disaster recovery services.,f06d9baa
azure,Storage,Storage,Represents general storage services.,5940ef72
azure,Storage,StorSimple,Offers hybrid cloud storage solutions.,c3800775
azure,Storage,Windows Azure Storage,Provides cloud storage services.,e909d42c
azure,Storage,Azure NetApp Files,Offers enterprise-grade file storage.,39b7867c
azure,Storage,Data Box,Provides data transfer appliances.,706d863e
azure,Storage Reserved,Azure RI Blob Storage,Reserved instance for Blob Storage.,9f7f59d3
azure,Storage Reserved,Azure RI Managed Disks,Reserved instance for Managed Disks.,128f602e
azure,Support,Linux Support,Provides support for Linux on Azure.,ca331c18
azure,Compute Reserved,Azure RI Virtual Machines,Reserved instances for virtual machines in Azure.,b9a7778b
azure,Database Reserved,Azure RI SQL Database,Reserved instances for SQL databases in Azure.,c6bb737c
azure,Database Reserved,Azure RI Cosmos DB,Reserved instances for Cosmos DB in Azure.,a8e240e8
azure,Database Reserved,Azure RI MySQL Database,Reserved instances for MySQL databases in Azure.,ce2c8459
azure,Database Reserved,Azure RI MariaDB Database,Reserved instances for MariaDB databases in Azure.,10d9f1e9
azure,Database Reserved,Azure RI PostgreSQL Database,Reserved instances for PostgreSQL databases in Azure.,52289fdd
gcp,Other,Unassociated Cost,Costs not associated with any specific service.,6eaf9b73
gcp,Analytics,BigQuery,Data warehouse for large-scale data analytics.,75b4f729
gcp,Analytics,BigQuery Data Transfer Service,Service to transfer data into BigQuery.,0cbd15c6
gcp,Analytics,Cloud Dataflow,Stream and batch data processing service.,80556c8b
gcp,Analytics,Cloud IoT Core,"Service to connect, manage, and ingest data from IoT devices.",a9251b23
gcp,Analytics,DLP API,Data loss prevention API to protect sensitive data.,2e2cd18c
gcp,Analytics,Genomics,Service for processing and analyzing genomic data.,ded87038
gcp,Analytics,Prediction,Machine learning predictions service.,b0506137
gcp,Artificial Intelligence,Cloud Machine Learning Engine,Managed service for building and deploying machine learning models.,b0feb107
gcp,Artificial Intelligence,Cloud Natural Language API,API for natural language understanding.,ad2d0473
gcp,Artificial Intelligence,Cloud Speech API,API for converting audio to text.,ff3c6c45
gcp,Artificial Intelligence,Cloud Text-to-Speech API,API for converting text to natural-sounding speech.,ef8dbb5f
gcp,Artificial Intelligence,Cloud TPU,Tensor Processing Units for machine learning workloads.,80d0205a
gcp,Artificial Intelligence,Cloud Video Intelligence API,API for analyzing videos.,5785d934
gcp,Artificial Intelligence,Cloud Vision API,API for image analysis.,4e01cfab
gcp,Artificial Intelligence,Google Click to Deploy Deep Learning VM,Pre-configured VMs for deep learning.,1ff9d09b
gcp,Artificial Intelligence,Machine Learning Engine,Managed service for building and deploying machine learning models.,df8e56f7
gcp,Artificial Intelligence,Translate,API for language translation.,1f3df982
gcp,Artificial Intelligence,Vertex AI,"Platform for building, deploying, and scaling ML models.",0146f241
gcp,Compute,App Engine,Platform for building scalable web applications and mobile backends.,c9ca9fef
gcp,Compute,Cloud Composer,Managed workflow orchestration service.,20fc0ccd
gcp,Compute,Cloud Dialogflow API,API for building conversational interfaces.,9fafab62
gcp,Compute,Cloud Endpoints,API management service.,d85f2078
gcp,Compute,Cloud Functions,Event-driven serverless compute service.,2926b370
gcp,Compute,Cloud Load Balancing,Service for distributing traffic across multiple instances.,3fdfc058
gcp,Compute,Cloud Test Lab,Service for testing mobile apps on real devices.,b4877ded
gcp,Compute,CommitmentCpu_1y_v1_Apac,1-year committed use contracts for CPU in APAC region.,0cc66de3
gcp,Compute,CommitmentCpu_1y_v1_Na,1-year committed use contracts for CPU in NA region.,ac570468
gcp,Compute,CommitmentRam_1y_v1_Apac,1-year committed use contracts for RAM in APAC region.,d579b234
gcp,Compute,CommitmentRam_1y_v1_Na,1-year committed use contracts for RAM in NA region.,c954cb39
gcp,Compute,Compute Engine,"Scalable, high-performance virtual machines.",b585a233
gcp,Compute,Container Builder,Service for building container images.,57616580
gcp,Compute,Container Registry,Private Docker image storage.,f49bf395
gcp,Compute,Deployment Manager,Infrastructure deployment service.,f2cfccc9
gcp,Compute,Firebase,Platform for building mobile and web applications.,4d5e8f78
gcp,Compute,GCP App Engine,Platform for building scalable web applications and mobile backends.,08404280
gcp,Compute,GCP Compute Engine Instance,"Scalable, high-performance virtual machines.",144260e7
gcp,Compute,Kubernetes Engine,Managed Kubernetes service.,f7312e79
gcp,Compute,memcache,In-memory caching service.,24640809
gcp,Compute,Resource Manager,Service for managing cloud resources.,4ce10db0
gcp,Compute,Shell,Interactive shell environment for managing cloud resources.,d7ae766b
gcp,Compute,Transcode API,API for transcoding media files.,99e56517
gcp,Compute,Weaveworks,Service for managing Kubernetes clusters.,5947a857
gcp,Compute,cloudtasks,Service for managing the execution of large numbers of distributed tasks.,cc2f16c5
gcp,Database,bigtable,NoSQL database service for large analytical and operational workloads.,a738667d
gcp,Database,Cloud Bigtable,NoSQL database service for large analytical and operational workloads.,8d4c202c
gcp,Database,Cloud Datastore,NoSQL document database built for automatic scaling.,0e03ce4e
gcp,Database,Cloud Memorystore for Redis,Managed Redis service.,70503604
gcp,Database,Cloud Spanner,"Globally distributed, horizontally scalable database.",fdad732f
gcp,Database,Cloud SQL,Managed relational database service.,9df83d5c
gcp,Database,Firebase Database,Realtime database for building mobile and web applications.,f9dca83e
gcp,Database,Firebase Realtime Database,Realtime database for building mobile and web applications.,ee832a28
gcp,Database,GCP Cloud SQL Instance,Managed relational database service.,2a12f485
gcp,Development,Places API,API for getting information about places.,2dcbd3f8
gcp,Development,Source Repository,Private Git repositories hosted on Google Cloud.,fc1fdb70
gcp,Developer stacks,lamp-click-to-deploy-images-cloudpartnerservices-goog,Pre-configured LAMP stack images.,0d676df9
gcp,Monitoring,Billing API,API for accessing billing information.,1c63d4a3
gcp,Monitoring,Cloud Logging,"Service for storing, searching, analyzing, and monitoring log data.",160eb077
gcp,Monitoring,Debugger,Service for debugging applications in production.,4a8ce91b
gcp,Monitoring,Error Reporting,Service for monitoring and reporting errors.,4d11a177
gcp,Monitoring,Google Service Control,Service for managing service control policies.,64368328
gcp,Monitoring,Monitoring,Service for monitoring cloud resources and applications.,3d93d41e
gcp,Monitoring,Stackdriver,"Integrated monitoring, logging, and diagnostics service.",6302f7e8
gcp,Monitoring,Stackdriver Logging,"Service for storing, searching, analyzing, and monitoring log data.",6b1abb41
gcp,Monitoring,Stackdriver Monitoring,Service for monitoring cloud resources and applications.,72982025
gcp,Monitoring,Trace,Service for tracing and analyzing application performance.,c78478ca
gcp,Network,Cloud DNS,Managed DNS service.,8c196aa5
gcp,Network,Cloud Interconnect,Service for connecting on-premises networks to Google Cloud.,82ebfcd8
gcp,Network,Cloud Virtual Network,Virtual network service.,285e67fd
gcp,Network,ExternalIp,Service for managing external IP addresses.,aecbe848
gcp,Network,Firebase Hosting,Hosting service for web applications.,34cab386
gcp,Network,GCP Address,Service for managing IP addresses.,9bfbf1f8
gcp,Network,GCP Global Addresses,Service for managing global IP addresses.,e056d02e
gcp,Network,GCP Backend Service,Service for managing backend services.,0fbf9830
gcp,Network,GCP Cloud DNS,Managed DNS service.,370948d2
gcp,Network,GCP Compute Network,Virtual network service.,799618a7
gcp,Network,GCP Compute Sub Network,Service for managing sub-networks.,f651612b
gcp,Network,GCP Firewall,Service for managing firewall rules.,26586ed1
gcp,Network,GCP Forwarding Rule,Service for managing forwarding rules.,9f3839ff
gcp,Network,GCP Global Address,Service for managing global IP addresses.,373e536f
gcp,Network,GCP Global Forwarding Rule,Service for managing global forwarding rules.,a5167aab
gcp,Network,GCP Health Check,Service for health checking resources.,721508c9
gcp,Network,Networking,General networking services.,d8357587
gcp,Security,Cloud IAM,Identity and access management for GCP resources.,18fd75ec
gcp,Security,Cloud Key Management Service,Manage encryption keys on GCP.,adc1bd06
gcp,Security,Firebase Auth,Authentication service for Firebase apps.,a30e238c
gcp,Security,reCAPTCHA Enterprise,Protect websites from fraud and abuse.,32522a95
gcp,Service,Cloud Android Platform,Platform for building Android apps on GCP.,285075f9
gcp,Service,Cloud Build,Continuous integration and delivery service.,cfb0664e
gcp,Service,Cloud CDN,Content delivery network for faster web content delivery.,e2264165
gcp,Service,Cloud Job Discovery,Job search and recommendation service.,32988aa0
gcp,Service,Cloud Key Management Service (KMS),Manage encryption keys on GCP.,3075ef99
gcp,Service,Cloud Pub/Sub,Messaging service for event-driven systems.,54133364
gcp,Service,Cloud Source Repositories,Private Git repositories hosted on GCP.,b1fab378
gcp,Service,cloudkms,Manage encryption keys on GCP.,acd2d732
gcp,Service,cloudscheduler,Schedule jobs and tasks on GCP.,865369b1
gcp,Service,Google Maps,Mapping service with various APIs.,b2127a4b
gcp,Service,kafka-cluster-bitnami-launchpad-cloudpartnerservices-goog,Managed Kafka clusters on GCP.,a7e53e72
gcp,Service,secretmanager,Securely store and manage secrets.,2122eb40
gcp,Service,SendGrid,Email delivery service.,9ec2b46b
gcp,Service,Support,Support services for GCP.,bc3d5318
gcp,Service,tensorflow-click-to-deploy-images-cloudpartnerservices-goog,Deploy TensorFlow models on GCP.,31194129
gcp,Service,tomcat-click-to-deploy-images-cloudpartnerservices-goog,Deploy Tomcat applications on GCP.,cbe9b9fc
gcp,Service,Zync,Video transcoding service.,eddd7cff
gcp,Service,containeranalysis,Container security analysis service.,78950047
gcp,Service,Distance Matrix API,Calculate travel distance and time.,ad67a024
gcp,Service,Geocoding API,Convert addresses to geographic coordinates.,a11af443
gcp,Service,Maps API,Mapping and location services.,bded0987
gcp,Service,Directions API,Get directions between locations.,165dea63
gcp,Storage,Cloud Filestore,Managed file storage service.,7d5189e9
gcp,Storage,Cloud Storage,Object storage service.,4a47727b
gcp,Storage,GCP Cloud Storage,Object storage service.,f4c5d80a
gcp,Storage,GCP Compute Disk,Block storage for GCP VMs.,0a376772
gcp,Storage,Artifact Registry,Store and manage build artifacts.,c206c996
gcp,Storage,Komprise,Data management service.,e7bd262f
gcp,Support,support,Support services for GCP.,523cba07
ibmcloud,Apps,App ID,Identity and access management for IBM Cloud apps.,46924fdc
ibmcloud,Apps,application_instance,Instance of an application on IBM Cloud.,b2ae4264
ibmcloud,Apps,developer-application,Tools for developing applications on IBM Cloud.,be648b97
ibmcloud,Apps,Liberty for Java™,Java application server.,360c4077
ibmcloud,Blockchain,blockchain,Blockchain service on IBM Cloud.,a81ec573
ibmcloud,Charge,credit,Credits for IBM Cloud services.,6209e54c
ibmcloud,Charge,mass_data_migration_shipment_fee,Fee for data migration services.,a3871675
ibmcloud,Charge,one_time_charge,One-time charge for IBM Cloud services.,5f547ffb
ibmcloud,Charge,premium,Premium services on IBM Cloud.,ebe4bb6a
ibmcloud,Compute,Bare Metal Servers and Attached Services,Physical servers with dedicated resources.,9766151a
ibmcloud,Compute,colo_hardware,Colocation hardware services.,d9fc646b
ibmcloud,Compute,container_instance,Instance of a container on IBM Cloud.,c2bdfc5b
ibmcloud,Compute,container-registry,Container registry service.,c491e03d
ibmcloud,Compute,Container Registry,Container registry service.,8aa7ff88
ibmcloud,Compute,container-registry_instance,Instance of a container registry.,31a1d52b
ibmcloud,Compute,dedicated_host_ram,Dedicated RAM for hosts.,464b6d56
ibmcloud,Compute,dedicated_load_balancer,Dedicated load balancing service.,3068e64a
ibmcloud,Compute,dedicated_virtual_hosts,Dedicated virtual hosts.,9ade0f5f
ibmcloud,Compute,fourth_processor,Fourth processor for compute instances.,2cff70a3
ibmcloud,Compute,gateway_resource_group,Resource group for gateway services.,f617ce6c
ibmcloud,Compute,gpu0,First GPU for compute instances.,0cc812de
ibmcloud,Compute,gpu1,Second GPU for compute instances.,122c3d7b
ibmcloud,Compute,guest_core,Core for guest VMs.,5f390bb1
ibmcloud,Compute,guest_core_usage,Usage of guest VM cores.,b4d8d966
ibmcloud,Compute,guest_disk0,First disk for guest VMs.,dd79f985
ibmcloud,Compute,guest_disk1,Second disk for guest VMs.,be45086d
ibmcloud,Compute,guest_disk2,Third disk for guest VMs.,ab5f8d23
ibmcloud,Compute,guest_disk3,Fourth disk for guest VMs.,dacc21cc
ibmcloud,Compute,guest_disk4,Fifth disk for guest VMs.,ffa2ab30
ibmcloud,Compute,guest_pcie_device0,First PCIe device for guest VMs.,24d15fe8
ibmcloud,Compute,guest_storage,Storage for guest VMs.,b0319ad3
ibmcloud,Compute,guest_storage_usage,Usage of guest VM storage.,cf04c67c
ibmcloud,Compute,hardware_security_module,Hardware security module service.,4ae709ad
ibmcloud,Compute,image,Compute images for VMs.,4ea643af
ibmcloud,Compute,instance,Compute instance on IBM Cloud.,2168754c
ibmcloud,Compute,instance-group,Group of compute instances.,11de6b85
ibmcloud,Compute,iscsi_replication,iSCSI replication service.,a722d264
ibmcloud,Compute,load-balancer,Load balancing service.,f1399cd8
ibmcloud,Compute,load_balancer_as_a_service,Load balancing as a service.,f8ff6c84
ibmcloud,Compute,load_balancer_bandwidth,Load balancer bandwidth.,c0bfe81a
ibmcloud,Compute,load_balancer_bandwidth_usage,Usage of load balancer bandwidth.,ca624ab6
ibmcloud,Compute,load_balancer_data_processed,Data processed by load balancer.,bd8240cf
ibmcloud,Compute,load_balancer_data_processed_usage,Usage of data processed by load balancer.,7005d08e
ibmcloud,Compute,Load Balancer for VPC,Load balancing for VPC.,85b76938
ibmcloud,Compute,load_balancer_uptime,Uptime of load balancer.,1ff598ef
ibmcloud,Compute,openstack_guest_core,Core for OpenStack guest VMs.,19c9e780
ibmcloud,Compute,os,Operating system for compute instances.,1f63d096
ibmcloud,Compute,os_addon,Add-ons for operating systems.,866178a8
ibmcloud,Compute,os_usage,Usage of operating systems.,66d1bdb1
ibmcloud,Compute,plesk_billing,Billing for Plesk services.,85cd254b
ibmcloud,Compute,power-iaas,Power infrastructure as a service.,33fcb42a
ibmcloud,Compute,proxy_load_balancer,Proxy load balancing service.,abfb2673
ibmcloud,Compute,ram,RAM for compute instances.,ceb581b0
ibmcloud,Compute,ram_usage,Usage of RAM for compute instances.,070ca397
ibmcloud,Compute,remote_management,Remote management service.,fcc344c9
ibmcloud,Compute Reserved,reserved_capacity,Reserved capacity for compute instances.,a3565228
ibmcloud,Compute,resource_instance,Resource instance on IBM Cloud.,22cd2926
ibmcloud,Compute,response,Response service for compute instances.,ee97002d
ibmcloud,Compute,response_usage,Usage of response service.,83b5f980
ibmcloud,Compute,sap_certified_server,SAP certified server.,682001ae
ibmcloud,Compute,second_processor,Second processor for compute instances.,e1b75c07
ibmcloud,Compute,server,Server on IBM Cloud.,cc1739a0
ibmcloud,Compute,server_core,Core for servers.,9f92f0d7
ibmcloud,Compute,third_processor,Third processor for compute instances.,2368dec1
ibmcloud,Compute,trusted_platform_module,Trusted platform module service.,eb602cb4
ibmcloud,Compute,virtual_datacenter,Virtual data center service.,f043a128
ibmcloud,Compute,virtual_peak_usage,Peak usage of virtual resources.,2b7585b0
ibmcloud,Compute,Virtual Server for VPC,Virtual server for VPC.,6e5747ae
ibmcloud,Compute,Virtual Servers and Attached Services,Virtual servers and attached services.,451173bd
ibmcloud,Compute,virtuozzo,Virtualization service.,c1eed46b
ibmcloud,Compute,vps,Virtual private server.,901422f3
ibmcloud,Compute,Code Engine,Serverless platform for running code.,dcae46a0
ibmcloud,Database,dashdb-for-transactions,Transactional database service,bff4a7eb
ibmcloud,Database,database,General database service,b7114c9e
ibmcloud,Database,Databases for EDB,EnterpriseDB database service,16327479
ibmcloud,Database,databases-for-elasticsearch,Elasticsearch database service,398f3f3e
ibmcloud,Database,Databases for Elasticsearch,Elasticsearch database service,056d4c1e
ibmcloud,Database,databases-for-enterprisedb,EnterpriseDB database service,f39f9830
ibmcloud,Database,databases-for-etcd,etcd database service,8f7dc791
ibmcloud,Database,Databases for etcd,etcd database service,739dddbc
ibmcloud,Database,databases-for-mongodb,MongoDB database service,0cb6f12f
ibmcloud,Database,Databases for MongoDB,MongoDB database service,7eeb87de
ibmcloud,Database,databases-for-postgresql,PostgreSQL database service,0810f78d
ibmcloud,Database,Databases for PostgreSQL,PostgreSQL database service,5337b7be
ibmcloud,Database,databases-for-redis,Redis database service,40441670
ibmcloud,Database,Databases for Redis,Redis database service,ee4621b2
ibmcloud,Database,Db2 Hosted,Hosted Db2 database service,47ddaa2a
ibmcloud,Database,Db2 Warehouse,Db2 data warehousing service,146c89ed
ibmcloud,Database,sql-query,SQL query service,ac5f20ee
ibmcloud,Database,sql_server,SQL Server database service,8d3b48ec
ibmcloud,Database,dashdb,DashDB database service,6500cb70
ibmcloud,Kubernetes,containers-kubernetes,Kubernetes container orchestration service,0ba69c36
ibmcloud,Kubernetes,Kubernetes Service,Kubernetes container orchestration service,39bce652
ibmcloud,License,bare_metal_gateway_license,Bare metal gateway license service,649f8ff7
ibmcloud,License,new_customer_setup,New customer setup service,3fe0d337
ibmcloud,License,software_license,Software license management service,e697eb32
ibmcloud,Monitoring,Availability Monitoring,Service availability monitoring,62eb7efe
ibmcloud,Monitoring,av_spyware_protection,Spyware protection monitoring,9befd2ac
ibmcloud,Monitoring,cdn_advanced_reporting,Advanced CDN reporting service,ec9a1aa4
ibmcloud,Monitoring,cdn_edge_performance_reporting,CDN edge performance reporting,3c8b047f
ibmcloud,Monitoring,cdn_live_event_monitoring,Live event monitoring for CDN,a80cbb93
ibmcloud,Monitoring,cdn_real_time_stats,Real-time CDN statistics,0c70038b
ibmcloud,Monitoring,IBM Cloud Activity Tracker with LogDNA,Activity tracking with LogDNA,04617541
ibmcloud,Monitoring,logdna,LogDNA logging service,87319c92
ibmcloud,Monitoring,logdnaat,LogDNA activity tracking,2b8c2a99
ibmcloud,Monitoring,monitoring,General monitoring service,b3005e61
ibmcloud,Monitoring,monitoring_package,Monitoring package service,01b2b322
ibmcloud,Monitoring,monitoring_usage,Monitoring usage service,66a559ff
ibmcloud,Monitoring,sysdig-monitor,Sysdig monitoring service,7b9c63bf
ibmcloud,Monitoring,vulnerability_scanner,Vulnerability scanning service,349c8480
ibmcloud,Monitoring,web_analytics,Web analytics service,a75c2502
ibmcloud,Monitoring,webstats,Web statistics service,5c6f78d8
ibmcloud,Network,additional_nic,Additional network interface card service,81897b14
ibmcloud,Network,additional_public_vlan,Additional public VLAN service,96db94aa
ibmcloud,Network,bandwidth,Bandwidth management service,f7524331
ibmcloud,Network,cdn_bandwidth,CDN bandwidth service,a6051d91
ibmcloud,Network,cdn_bandwidth_asia,CDN bandwidth service for Asia,9c3c6759
ibmcloud,Network,cdn_bandwidth_asia_small,Small CDN bandwidth service for Asia,e2d80356
ibmcloud,Network,cdn_bandwidth_small,Small CDN bandwidth service,1231adea
ibmcloud,Network,cdn_bandwidth_ssl,SSL CDN bandwidth service,f05a146d
ibmcloud,Network,cdn_bandwidth_ssl_asia,SSL CDN bandwidth service for Asia,717f4330
ibmcloud,Network,cdn_bandwidth_ssl_asia_small,Small SSL CDN bandwidth service for Asia,9458d060
ibmcloud,Network,cdn_bandwidth_ssl_small,Small SSL CDN bandwidth service,7651c3fd
ibmcloud,Network,cdn_service_bandwidth,CDN service bandwidth management,c023a208
ibmcloud,Network,cdn_service_dynamic_bandwidth,Dynamic CDN service bandwidth management,006a8633
ibmcloud,Network,directlink,DirectLink network service,de5d52ae
ibmcloud,Network,DNS Services,DNS management services,7dc22d8f
ibmcloud,Network,dns-svcs,DNS services,477e6ad2
ibmcloud,Network,domain,Domain management service,95659a80
ibmcloud,Network,domain_name_registration,Domain name registration service,06a42707
ibmcloud,Network,domain_reseller_credit,Domain reseller credit service,4732811f
ibmcloud,Network,firewall,Firewall service,0ee58b7d
ibmcloud,Network,firewall_appliance,Firewall appliance service,c2e4083c
ibmcloud,Network,firewall_appliance_addon_antivirus,Antivirus addon for firewall appliance,6d9c417a
ibmcloud,Network,firewall_appliance_addon_bundle,Addon bundle for firewall appliance,fde9b6c8
ibmcloud,Network,firewall_appliance_addon_next_gen_service,Next-gen service addon for firewall appliance,480b1cb9
ibmcloud,Network,firewall_appliance_addon_private_vlan,Private VLAN addon for firewall appliance,563031e6
ibmcloud,Network,firewall_appliance_addon_web_filter,Web filter addon for firewall appliance,271effc2
ibmcloud,Network,firewall_appliance_ha_pair,High availability pair for firewall appliance,938be055
ibmcloud,Network,floating-ip,Floating IP service,62cf63b0
ibmcloud,Network,Floating IP for VPC,Floating IP service for VPC,0d5b0db9
ibmcloud,Network,globalIp,Global IP service,5ad44e15
ibmcloud,Network,global_ipv4,Global IPv4 service,26a857fa
ibmcloud,Network,global_ipv6,Global IPv6 service,7950da05
ibmcloud,Network,global_load_balancer,Global load balancer service,543213b9
ibmcloud,Network,iscsi,iSCSI storage service,e3616726
ibmcloud,Network,iscsi_snapshot_space,iSCSI snapshot space service,41e1d56b
ibmcloud,Network,Network,General network service,eccf6aed
ibmcloud,Network,network-acl,Network ACL service,9430c32b
ibmcloud,Network,network_acl,Network ACL service,1e642267
ibmcloud,Network,network_adc,Network ADC service,4669fe3d
ibmcloud,Network,network_interconnect,Network interconnect service,7a1eaf15
ibmcloud,Network,network_interconnect_routing,Network interconnect routing service,2c7e002b
ibmcloud,Network,network_message_delivery,Network message delivery service,0d696f7c
ibmcloud,Network,network_message_delivery_additional_emails,Additional emails for network message delivery,9b7b7d0a
ibmcloud,Network,network_tunnel,Network tunnel service,5bb51002
ibmcloud,Network,network_vlan,Network VLAN service,ce84c504
ibmcloud,Network,pcie_slot0,PCIe slot 0 service,d9592852
ibmcloud,Network,pcie_slot1,PCIe slot 1 service,d9468cbc
ibmcloud,Network,port_speed,Port speed management service,862735c2
ibmcloud,Network,port_speed_usage,Port speed usage service,a7b417a3
ibmcloud,Network,pri_ip_addresses,Primary IP addresses service,a873496a
ibmcloud,Network,pri_ipv6_addresses,Primary IPv6 addresses service,f931a0bf
